alim_grp_nom_fr;alim_nom_fr;Energie;Eau;Proteines;Glucides;Lipides;Sucres;Fructose;Galactose;Glucose;Lactose;Maltose;Saccharose;Amidon;Fibres alimentaires;Polyols totaux;Cendres;Alcool;Acides organiques;AG satures;AG monoinsatures;AG polyinsatures;AG 4:0, butyrique;AG 6:0, caproeque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stearique;AG 18:1 9c(n9), oleique;AG 18:2 9c,12c(n6), linoleique;AG 18:3 c9,c12,c15(n3), alphalinolenique;AG 20:4 5c,8c,11c,14c(n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c(n3) EPA;AG 22:6 4c,7c,10c,13c,16c,19c(n3) DHA;Cholesterol(mg/100g);Sel chlorure de sodium;Calcium(mg/100g);Chlorure(mg/100g);Cuivre(mg/100g);Fer(mg/100g);Iode(eg/100g);Magnesium(mg/100g);Manganese(mg/100g);Phosphore(mg/100g);Potassium(mg/100g);Selenium(eg/100g);Sodium(mg/100g);Zinc(mg/100g);Retinol(eg/100g);BetaCarotene(eg/100g);Vitamine D(eg/100g);Vitamine à(mg/100g);Vitamine K1(eg/100g);Vitamine K2(eg/100g);Vitamine C(mg/100g);Vitamine B1 ou Thiamine(mg/100g);Vitamine B2 ou Riboflavine(mg/100g);Vitamine B3 ou PP ou Niacine(mg/100g);Vitamine B5 ou Acide pantothenique(mg/100g);Vitamine B6(mg/100g);Vitamine B9 ou Folates totaux(eg/100g);Vitamine B12(eg/100g)
glaces et sorbets;Peche melba;119;73.5;2.02;18.8;3.62;18.2;;;;;;;0.57;1.54;0;0.53;0;0;1.62;1.4;0.41;;;;;;;;;;;;;;;10.2;63;62.3;;93;0.57;11.2;10.1;0.2;54.9;144;0.31;25.1;0.33;29.4;132;28;1.26;;;15.7;31;88;0.51;0.2;42;13.6;78
glaces et sorbets;Dessert glace type mystere ou vacherin;275;46;3.12;40.5;10.7;33.7;1.8;;3.2;1.5;2.6;22.4;0.35;2.18;0;0.39;0;0;6.53;1.56;0.24;0.21;0.13;0.09;0.17;0.21;0.67;1.9;0.59;1.27;0.15;0.03;0.01;0.01;0.01;27.7;0.12;38;57.9;0.02;0.25;20;9;0.38;40;120;20;53.6;0.18;44.3;5;0.25;0.29;0.8;;3.6;22;0.11;1.37;0.28;36;18.7;0.24
glaces et sorbets;Dessert glace. type sundae;230;54.4;2.52;32.6;9.7;24.9;0.6;;2.4;4.87;3.63;13.4;;2;0;0.73;0;0;6.8;;;;;;;;;;;;;;;;;;0.24;;158;;;;;;;;;97.2;;;;;;;;;;;;;;;
glaces et sorbets;Dessert glace feuillete. à partager;262;54.2;2.65;26.2;16.1;21.9;1.8;;;;3.4;10.2;;0.94;0;0.6;0;0;13.3;1.5;0.41;;;;0.46;7.21;3.12;1.73;0.76;1.18;0.31;0.1;0;0;0.000075;;0.18;;;;;;;;;;;72;;;;;;;;;;;;;;;
glaces et sorbets;Omelette norvegienne;212;54.3;3.6;34.8;6.5;32.7;1.7;;2.7;3.2;1.6;23.5;2;0.5;0;0.59;0;0;3.9;1.65;0.38;0.12;0.08;0.14;0.18;0.72;0.61;1.48;0.48;1.47;0.34;0.02;0.02;0.01;0.01;52.5;0.15;61;110;0.03;0.28;20;11;0.06;71;160;20;58.3;0.23;36.3;7.62;0.25;0.41;0.84;;0.5;36;0.16;0.1;0.37;34;44.3;0.34
glaces et sorbets;Poire belle Helene;196;60.7;2.68;23.5;9.57;21;;;;;;;0.61;2.76;0;0.71;0;0;5.19;3.31;0.58;;;;;;;;;;;;;;;13;39;49.3;;0.2;2.43;4.16;35.3;0.21;70.2;176;0.76;15.7;0.49;30.1;22.5;0.48;1.19;;;1.82;39;91;0.32;0.19;38;7.76;77
glaces et sorbets;Nougat glace;263;52.3;4.83;25.3;15.2;20.5;1.2;;;5.1;1.8;9.9;0.35;2.76;0;0.74;0;0;11;26;2.19;0.16;0.11;79;0.17;0.2;0.64;2.34;0.72;;1.96;26;0.00028;0.00028;0.00028;22.7;0.13;95;200;0.15;0.54;20;43;0.29;120;230;20;49.6;0.47;62.2;27;0.25;3.18;1.22;;0.5;36;0.16;0.25;0.52;51;17.5;0.24
glaces et sorbets;Citron givre ou Orange givree(sorbet);133;;0.14;29.1;1.77;24.4;;;;;;;;traces;0;34;0;0;traces;;;;;;;;;;;;;;;;;;34;;;;;;;;;;;13.6;;;;;;;;;;;;;;;
glaces et sorbets;Coupe glacee type cafe ou chocolat liegeois;220;;2.98;28.6;10;25.6;;;;;;;;1.82;0;0.12;0;0;7.74;;;;;;;;;;;;;;;;;;0.12;;;;;;;;;;;47.4;;;;;;;;;;;;;;;
glaces et sorbets;Beche glacee;226;;2.42;30;10.4;25.6;;;;;;;;1.54;0;0.19;0;0;7.1;;;;;;;;;;;;;;;;;;0.19;;;;;;;;;;;74.8;;;;;;;;;;;;;;;
glaces et sorbets;Coupe glacee parfum peche Melba ou poire BelleHelene;163;;0.89;32.2;3.36;31.4;;;;;;;;0.35;0;94;0;0;1.79;;;;;;;;;;;;;;;;;;94;;;;;;;;;;;36;;;;;;;;;;;;;;;
matieres grasses;Beurre à 82% MG. doux;753;15.4;0.69;0.9;82.9;0.83;0.1;0.1;0.1;0.83;0.1;0.1;0;0;0;0.25;0;0.1;55.4;19.3;1.82;3.21;2.13;1.32;2.22;2.77;9.24;25.3;7.45;16.2;1.22;0.38;0.09;0.01;0.01;218;63;17.8;;26;26;1.5;2.05;0.0018;24;28;10;25;83;675;158;1.12;2.11;7;15;0;6;35;71;0.11;0.0035;3;0.17
matieres grasses;Huile de beurre ou Beurre concentre;;1.5;0.27;0;99.9;0;;;;;;;;0;0;12;0;;61.9;28.7;3.69;3.02;2.08;1.32;2.93;3.59;10.8;28.2;8.49;22;1.27;0.43;;0;0;256;5;4;;1;4;;0;0;3;2;;2;0.01;824;193;1.8;2.8;8.6;;0;1;5;3;0.01;1;0;0.01
matieres grasses;Beurre à 80% MG. demisel;738;15.3;0.72;0.55;81.4;0.39;0.13;;0.05;0.39;0.13;0.13;;0;0;2.05;0;traces;54.9;21.2;2.72;3.06;2.6;1.3;2.38;2.59;6.44;21.9;9.65;18.6;1.61;0.45;;0;0;218;1.9;17.8;1200;0.0092;0.13;1.5;4.94;0.0047;24;39;10;762;52;697;158;1.13;2.11;7;;0;6;35;71;0.11;3;3;0.17
matieres grasses;Beurre à 80% MG. sale;732;15.7;0.5;0.68;80.8;traces;0.2;0.2;0.2;0.2;0.2;0.2;;0;0;2.61;0;85;52.9;19.7;1.91;2.91;1.78;1.1;2.19;2.62;9;23.7;7.87;16.7;1.16;0.4;0.08;0.04;0.01;245;2.52;24;1090;0.01;0.23;20;7.4;0.01;24;35;20;1010;0.17;887;;0.25;1.77;6.11;;0.5;0.015;0.01;0.1;0.05;0.01;5;76
matieres grasses;Beurre à 82% MG. doux. tendre;755;15.6;0.7;0.5;83.4;;;;;;;;;0;0;1;0;traces;;;;;;;;;;;;;;;;;;;55;;;;;;;;;;;;;;;;;;;;;;;;;;
matieres grasses;Beurre à 6062% MG. à teneur reduite en matiere grasse. doux;550;37.7;0.56;0.7;60.6;0.2;0.2;;0.2;0.2;0.2;0.2;0;0;0;0.25;0;39;40.1;14;1.5;2.05;1.34;0.85;1.91;2.24;6.97;17.3;6.08;11.8;0.91;0.33;0.07;0.03;0.01;181;45;18;80.3;0.01;0.05;20;1.8;0.01;20;27;20;18;0.13;660;304;0.25;1.38;;;1;0.015;0.01;0.1;91;0.01;5;0.1
matieres grasses;Beurre à 6062% MG. à teneur reduite en matiere grasse. demisel;555;37;0.9;0.5;61;0.5;;;;;;;0;0;0;1.28;0;traces;34.3;15.9;2.05;1.79;1.06;0.62;1.38;1.55;5.55;14.5;6.68;;;;;0;0;106;1.13;48;;0;1.09;2;5;;34;71;;450;0.26;456;107;1;1.58;4.8;;0;0.01;0.07;0.02;;0.01;1;0.13
matieres grasses;Beurre ou assimile allege(leger ou à teneur reduite en matiere grasse). doux(aliment moyen);368;56.5;0.33;3.73;38.9;1.06;63;0.05;63;1.06;63;63;;0.51;0;0.55;0;0.12;25;9.49;0.97;1.36;0.89;0.56;1.14;1.38;4.32;10.8;3.63;8.03;0.58;0.22;34;19;5;101;0.4;;;;0.22;5.09;;;;;;161;;;;;1.53;;;;;;;;;;
matieres grasses;Beurre à teneur en matiere grasse inconnue(allege ou non). demisel(aliment moyen);727;16.6;0.73;0.55;80.2;0.4;67;;25;0.39;67;67;;0;0;2;0;0;53.7;20.9;2.68;2.99;2.51;1.25;2.32;2.53;6.39;21.5;9.47;18.6;1.61;0.45;;0;0;211;1.86;19.6;1200;0.0086;0.19;1.53;4.94;0.0047;24.6;40.9;5;743;64;682;155;1.12;2.08;6.87;;0;0.0062;37;68;0.11;0.0034;2.88;0.17
matieres grasses;Beurre ou assimile à teneur en matiere grasse inconnue. doux(aliment moyen);741;16.7;0.68;0.99;81.5;0.84;0.05;0.05;0.05;0.84;0.05;0.05;48;17;0;0.14;0;0.1;54.5;18.9;1.79;3.15;2.09;1.3;2.19;2.73;9.08;24.8;7.33;15.9;1.2;0.37;88;0.0055;5;214;73;17.8;;31;32;1.62;2.05;0.0074;23.9;28.2;5.05;29.4;88;672;166;1.1;2.09;7;15;0.0098;0.0062;34;0.07;0.11;0.0038;2.99;0.17
matieres grasses;Beurre à 3941% MG. leger. doux;391;54.1;0.5;3.6;41.7;1.26;0.1;0.1;0.1;1.26;0.1;0.1;;0;0;0.52;0;0.1;26.2;10.7;1.04;1.51;0.99;0.62;1.2;1.49;4.55;11.3;3.55;9.04;0.61;0.24;0.03;0.02;0.01;84.5;0.45;;;;0.1;2;;;;;;178;;;;;1.22;;;;;;;;;;
matieres grasses;"Matiere grasse laitiere à 25% MG. legere. ""à tartiner"". doux";247;68.8;0.4;3.8;25.6;;0.5;;0.5;0.5;0.5;0.5;2.9;0;0;0.84;0;traces;16.3;5.85;0.87;0.77;0.51;0.31;0.69;0.84;2.71;7.75;2.26;4.86;;0.11;0.03;13;;70;0.72;18;465;1;1;10;2.5;1;14;51.2;8.1;286;1;342;491;0.2;2.2;;;1;0.05;0.05;0.05;0.06;0.05;5;0.2
matieres grasses;"Matiere grasse laitiere à 20% MG. legere. ""à tartiner"". doux";201;73.6;0.5;6.2;19.1;1.56;0.1;0.1;0.1;1.56;0.1;0.1;4.3;3;0;0.9;0;0.21;12.1;4.67;0.47;0.66;0.42;0.27;0.48;0.61;2.03;5.28;1.86;3.96;0.28;0.11;0.01;0.01;0.01;59;0.63;22.7;222;1;1;10;2.3;1;15;48.1;5.8;250;1;448;732;0.7;2;;;1;0.05;0.05;0.05;0.08;0.05;5;0.2
matieres grasses;Huile ou beurre de cacao;900;0;0;0;100;0;;;;;;;0;0;0;0;0;0;59.7;32.9;3;0;0;0;0;0;0.1;25.4;33.2;32.6;2.8;0.1;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;24.7;;0;0;0;0;0;0;0;0
matieres grasses;Huile ou graisse de coco(coprah). sans precision;900;0;0;0;100;0;;;;;;;0;0;0;0.00004;0;0;84;8.6;1.7;0;0.4;5.4;4.85;45.8;16.6;8.15;2.8;8.6;1.6;;0;0;0;0;0;0;;0;0.04;;0;0;0;0;;0;0;0;0;0;12.8;0.5;;0;0;0;0;0;0;0;0
matieres grasses;Huile ou graisse de coco(coprah). raffinee;900;0;0;0;100;0;0;;0;0;0;0;0;0;0;0.0011;0;0;86.5;5.8;1.8;;0.59;7.5;5.99;44.6;16.8;8.2;2.8;5.8;1.8;;;;;0;0;1;;0;0.06;0.4;0;0;0;0;0;0;0;0;;0;0.3;;;0;0;0;0;0;0;0;0
matieres grasses;Matiere grasse ou graisse vegetale solide(type margarine) pour friture;899;0.17;0.5;0;99.8;traces;0.2;0.2;0.2;0.2;0.2;0.2;0;0;0;0.25;0;traces;94.6;0.4;0.12;0.01;0.62;8.2;5.2;42.1;16.7;9.74;11.9;0.4;0.12;0.01;0.01;0.01;0.01;;0.013;0.2;20;0.01;0.05;20;0.05;0.01;0.3;0.3;20;5;0.05;21;5;0.25;3.79;;;0.5;0.015;0.01;0.42;8;0.01;5;0.01
matieres grasses;Huile ou beurre de karite;900;0;0;0;100;0;;;;;;;0;0;0;0;0;0;46.6;44;5.2;0;0;0.2;0.2;1.3;0.1;4.4;38.8;;;;;0;0;0;0;0;;;0;;0;;0;0;;0;0;0;0;;0;;;0;0;0;0;0;0;0;0
matieres grasses;Huile pour friture. sans precision;900;0.03;0;0;100;0;;;;;;;0;0;0;0.25;0;0;9.86;39.5;46;0.01;0.01;0.01;0.01;0.01;0.07;5.94;2.66;37.5;43.7;2.22;0.01;0.01;0.01;;0.013;0.4;100;0.05;0.05;20;0.05;0.01;0.3;0.3;20;5;0.05;;5;0.25;52.8;12.1;;;;;;;;;
matieres grasses;Huile de palme. sans precision;900;0;0;0;100;0;;;;;;;0;0;0;0.00001;0;0;49.3;37;9.3;0;0;0;;0.1;1;43.5;4.3;;;;;0;0;0;0;0;;0;0.01;;0;;0;0;;0;0;0;0;;15.9;8;;0;0;0;0;0;0;0;0
matieres grasses;Huile de palme raffinee;900;0;0;0;100;0;;;;;;;0;0;0;0.00001;0;0;49.3;37;9.3;0;0;0;0;0.1;1;43.5;4.3;36.6;9.1;0.2;0;0;0;0;0;0;;;0.01;;0;;0;0;;0;;0;;0;15.9;8;;0;0;0;0;0;0;0;0
matieres grasses;Huile ou graisse de palmiste. sans precision;900;0;0;0;100;0;;;;;;;0;0;0;0;0;0;81.5;11.4;1.6;0;0.2;3.3;3.7;47;16.4;8.1;2.8;;;;;0;0;0;0;0;;0;0;;0;0;0;0;;0;0;0;0;0;3.81;24.7;;0;0;0;0;0;0;0;0
matieres grasses;Huile vegetale(aliment moyen);900;66;0.21;0;99.9;0;0;0;0;0;0;0;0;0;0;0.11;0;0;13.5;59.2;22.6;0.0063;0.0063;0.0063;0.0063;13;25;9.63;2.87;56.5;21.4;1.06;0.0046;0.0043;0.0052;0;0.0098;0.29;7.41;0.0052;24;8.55;62;0.0062;0.13;0.19;9.25;3.8;26;0;129;0.11;32.8;45.4;;0;0;0;0;0;0;0;0
matieres grasses;Huile d'amandes d'abricot;900;0;0;0;100;0;;;;;;;0;0;0;0;0;0;6.3;60;29.3;0;0;0;0;0;0;5.8;0.5;;;;;0;0;0;0;0;;;0;;0;;0;0;;0;0;0;0;;4;;;0;0;0;0;0;0;0;0
matieres grasses;Huile d'amande;900;0;0;0;100;0;;;;;;;0;0;0;0;0;0;8.2;69.9;17.4;0;0;0;0;0;0;6.5;1.7;;;;;0;0;0;0;0;;0;0;;0;;0;0;;0;0;0;0;0;39.2;7;;0;0;0;0;0;0;0;0
matieres grasses;Huile d'arachide;900;0.08;0.5;0;99.9;0;0;0;0;0;0;0;0;0;0;0.25;0;traces;16.2;64.2;15.1;0.01;0.01;0.01;0.01;0.01;0.01;7.97;2.57;61.7;14.7;0.18;0.01;0.01;0.05;0;0.013;1.3;0.06;0.01;0.05;20;0.05;0.09;0.3;0.3;20;5;0.06;0;5;0.25;14.2;0.8;;0;0;0;0;0;0;0;0
matieres grasses;Huile d'avocat;900;0;0;0;100;0;;;;;;;0;0;0;0;0;0;17.9;65.2;10.5;;;;;;83;16.9;0.75;50.3;;0.55;0;0;;;0;0;;0;0;;0;0;0;0;;0;0;0;50;;45.3;;;0;0;0;0;0;0;0;0
matieres grasses;Huile de germe de ble;900;0;0;0;100;0;;;;;;;0;0;0;0;0;0;17.4;14;61.7;0;0;0;0;0;93;15.4;0.46;12.5;46.9;5.91;0;0;0;0;0;0;;0;0;;0;;0;0;;0;0;0;0;0;149;24.7;;0;0;0;0;0;0;0;0
matieres grasses;Huile de carthame;900;0;0;0;100;0;;;;;;;0;0;0;0;0;0;6.69;44.7;44.1;0;0;0;0;0;93;4.43;1.92;44.5;13.6;96;0;0;0;0;0;0;;0;0;;0;0;0;0;;0;0;0;0;0;36.4;5.05;;0;0;0;0;0;0;0;0
matieres grasses;Huile de colza;900;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0.000054;0;0;7.26;59.7;26.9;0;0;0;0;0.12;72;4.52;1.65;55.2;19.4;7.54;0;0;0;0;0;2.57;0;0.0052;23;0;0.58;0.0015;0;0.81;10;1.11;26;0;0;0;27.7;71.3;;0;0;0;0;0;0;0;0
matieres grasses;Huile de coton;900;0;0;0;100;0;;;;;;;0;0;0;0;0;0;25.9;17.8;51.9;0;0;0;0;0;0.8;22.7;2.3;17;51.5;0.2;0.1;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;35.3;24.7;;0;0;0;0;0;0;0;0
matieres grasses;Huile de lin;900;0;0;0;100;0;;;;;;;0;0;0;0.0021;0;0;9.19;19.3;66.9;0;0;0;8;18;77;5.2;3.73;19.2;13.5;53.3;0;0;0;0;0;1;;0;0;;0;0;1;0;;0;0.07;0;0;0;8.99;9.3;;0;0;0;0;;0;0;0
matieres grasses;Huile de maes;900;0;0;0;100;0;;;;;;;0;0;0;0.00013;0;0;12.2;27.5;55.4;0;0;0;0;0;26;9.79;1.77;25.9;54.1;1.04;0;0;0;0;0;0;0.1;0;0.03;0.8;0;0;0;0;0;0;0;0;0;0;13.2;1.9;;0;0;0;0;0;0;0;0
matieres grasses;Huile de noisette;900;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;8.34;75.4;12.9;0;0;0;0;0.05;75;5.58;2.52;72.7;11.7;0.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.6;;;0;0;0;0;0;0;0;0
matieres grasses;Huile de noix;900;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;10;16.8;69.6;0;0;0;0;0.049;0.049;7.15;2.34;15.2;56.1;11.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0.008;0;1.81;15;;0;0;0;0;0;0;0;0
matieres grasses;Huile d'olive vierge extra;900;0.1;0.5;0;99.9;0;0;0;0;0;0;0;0;0;0;0.25;0;traces;15.2;73.1;7.17;0.01;0.01;0.01;0.01;0.01;0.01;11.8;2.79;69.8;6.52;0.65;0.01;0.01;0.01;0;0.013;0.2;20;0.01;0.05;20;0.05;0.01;0.3;0.3;20;5;0.05;0;210;0.25;22.3;58.1;;0;0;0;0;0;0;0;0
matieres grasses;Huile de pavot;900;0;0;0;100;0;;;;;;;0;0;0;0;0;0;13.5;19.7;62.4;0;0;0;0;0;0;10.6;2.9;;;;;0;0;0;0;0;;;0;;0;;0;0;;0;0;0;0;;11.4;;;0;0;0;0;0;0;0;0
matieres grasses;Huile de pepins de raisin;900;0.03;0;0;100;0;0;0;0;0;0;0;0;0;0;0.25;0;0;11.4;19.5;64.1;0.01;0.01;0.01;0.01;0.01;0.04;6.84;3.84;18.6;63.7;0.32;0.01;0.01;0.01;0;0.013;0.3;100;0.02;0.05;20;0.05;0.01;0.3;1.1;20;5;0.05;0;5;0.25;15.7;189;;0;0;0;0;0;0;0;0
matieres grasses;Huile de son de riz;900;0;0;0;100;0;;;;;;;0;0;0;0.00007;0;0;19.7;39.3;35;0;0;0;0;0;0.7;16.9;1.6;;;;;0;0;0;0;0;;;0.07;;0;;0;0;;0;0;0;0;;32.3;24.7;;0;0;0;0;0;0;0;0
matieres grasses;Huile de sesame;900;0;0;0;100;0;;;;;;;0;0;0;0;0;0;14.9;40.2;40;0;0;0;0;0;0;8.37;5.53;38.5;39.6;0.38;0;0;0;0;0;0;;0;0;;0;;0;0;;0;0;0;0;0;1.1;13.6;;0;0;0;0;0;0;0;0
matieres grasses;Huile de soja;900;0;0;0;100;0;0;;0;0;0;0;0;0;0;0.0035;0;0;14.7;22.1;59.1;0;0;0;0;0;81;10;3.96;21.9;52;6.89;0;0;0;0;0;2.57;;0.0039;41;0.8;1.52;13;0;1.85;10;1.11;0.11;0;0;0;6.1;362;;0;0;0;0;0;0;0;0
matieres grasses;Huile de tournesol;901;0.03;0.5;0;100;0;0;0;0;0;0;0;0;0;0;0.25;0;traces;11.1;27.6;56.3;0.01;0.01;0.01;0.01;0.01;0.07;6.27;3.43;26.7;56.3;0.05;0.01;0.01;0.01;0;25;0.2;0.06;0.01;0.05;20;0.05;0.01;0.3;0.3;20;10;0.05;0;5;0.25;57.3;0.8;;0;0;0;0;0;0;0;0
matieres grasses;Huile combinee(melange d'huiles);896;0;0;0;99.5;0;0;0;0;0;0;0;0;0;0;13;0;0;10.3;40.2;44.4;0.05;0.05;0.05;0.05;0.05;0.05;6.24;2.88;38.4;41.1;1.26;;0;0;0;11;2.57;0;0.0028;13;0;0.58;0.0015;0;0.81;10;2.42;0.03;0;0;0;63.9;;;0;0;0;0;0;0;0;0
matieres grasses;Huile combinee. melange d'huile d'olive et de graines;900;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;12.1;49.4;32.5;;;;;0.1;0.1;7.93;3.22;46.3;27.2;2.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;32.3;;;0;0;0;0;0;0;0;0
matieres grasses;Huile d'argan ou d'argane;889;;0;0;98.7;0;;;;;;;0;0;0;;0;0;17.6;44.8;33.3;;;;;;0.15;11.8;4.99;43.8;33;0.13;0;0;;;;;;;;;;;;;;;;;;;3.6;;;;;;;;;;
matieres grasses;Matiere grasse vegetale(type margarine) à 80% MG. salee;722;;0.5;0.5;80;0.5;;;;;;;;0;0;1.78;0;traces;32;35;12;;;;;;;;;;9.5;2.5;;;;;1.78;;;;;;;;;;;710;;;;10;;;;;;;;;;;
matieres grasses;Matiere grasse vegetale ou margarine. 80% MG. doux;726;16.3;0.39;0.3;80.4;0.3;;;;;;;0;0;0;2.16;0;traces;25.1;26.8;24.9;0;0;0.35;0.12;4.03;1.75;11;6.89;21;20.2;1.8;;0;0;0;0.43;11.1;147;0.0063;98;1.5;4.19;0.0043;10.8;32.5;2.2;174;0.04;780;20;0;8.5;0;;0;0.01;25;13;84;3;1.5;0.1
matieres grasses;Matiere grasse vegetale(type margarine) à 70% MG. doux;631;26.5;0.13;0.24;70;0.24;;;;;;;traces;0;0;0.79;traces;traces;29.2;27.2;9.17;0;0;0.16;0.15;1.91;1.26;18.2;5.47;21.5;8.03;1.14;0;0;;5.6;0.76;6.9;459;1;1;10;2;1;5.2;13.5;3;265;1;2.2;436;;25;;;2.4;0.05;0.05;0.05;0.05;0.05;5;0.2
matieres grasses;Matiere grasse vegetale(type margarine) à 60% de MG. allegee. au tournesol. doux;548;39;0.5;0.55;60.6;0.2;0.2;;0.2;0.2;0.2;0.2;0.35;0;0;0.43;0;47;14.1;17.9;25.6;0.01;0.01;0.29;0.18;2.54;1.03;7.44;2.01;17.1;21.1;4.55;0.01;0.01;0.01;;0.37;3.3;225;0.01;0.05;20;0.85;0.01;4.9;19;20;146;0.05;;528;0.25;21.4;16.2;;;0.015;0.01;0.1;15;39;0.5;
matieres grasses;Matiere grasse vegetale(type margarine). teneur en matiere grasse inconue. doux(aliment moyen);608;29.9;0.16;0.24;67.4;0.24;;;;;;;0;0;0;0.74;0;15;26.6;26.1;10.6;0.0017;0.0019;0.22;0.19;2.46;1.36;16.1;4.61;21.4;9.17;1.47;0.0012;0.0012;;6.75;0.68;8.46;440;0.5;0.5;5;1.01;0.5;7.28;15.9;3.32;240;0.5;13.4;455;;23.4;;;2.01;27;25;25;25;25;2.5;94
matieres grasses;Matiere grasse vegetale(type margarine). teneur reduite en matiere grasse inconnue. doux(aliment moyen);532;40.8;0.28;0.24;58.9;0.22;0.05;0.05;0.05;0.22;0.05;0.05;0;0;0;0.59;0;63;18.2;22.4;15.4;7;0.0081;0.39;0.3;4.25;1.66;9.36;1.78;21.2;12.9;2.56;5;5;5;10.5;0.4;13.6;378;0.5;0.5;5;1.03;0.5;14;23.7;9.23;160;0.5;49.7;516;6.52;18.4;;;0.74;31;25;25;26;25;2.5;74
matieres grasses;Matiere grasse vegetale(type margarine). à tartiner. à 3040% MG. legere. doux;366;55.8;1.44;3;38.6;1.91;0.1;0.1;0.1;1.91;0.1;0.1;;0;0;0.81;0;0.41;17.5;13.8;5.32;0.1;0.15;1.1;0.86;6.05;2.62;3.84;2.34;13.3;3.87;1.45;0.01;0.01;0.01;34;0.53;20.8;236;1;1;10;2.5;1;16;76.8;3;212;1;566;438;7.5;9.1;;;1;0.33;0.05;0.05;0.05;0.05;5;0.1
matieres grasses;Matiere grasse vegetale(type margarine). à tartiner. à 3040% MG. legere. demisel;358;51.6;0.9;3.05;38;1.5;;;;;;;;0;0;2.1;0;traces;17.3;10.5;3.95;67;0.12;0.81;0.63;4.29;22;4.2;0.94;9.76;;0.99;0;0;;12;1.63;54.3;919;1;1;10;6.1;1;46;117;3.6;650;1;650;457;;12.8;;;2.2;0.11;0.1;0.05;0.11;0.1;5;0.2
matieres grasses;Matiere grasse vegetale(type margarine). à tartiner. à 3040% MG. legere. doux. riche en omega 3;349;58.2;0;0;38.8;0;;;;;;;;0;0;0.41;0;traces;9;16.8;9.47;0;0;0.14;0.12;1.58;0.62;3.08;2.4;15.5;6;3;18;0.24;;17;0.3;7.9;234;1;1;10;2;1;8.9;34.2;3;120;1;508;438;;29;;;1;0.05;0.05;0.05;0.05;0.05;5;0.1
matieres grasses;Matiere grasse vegetale(type margarine) à 5063% MG. allegee. doux. riche en omega 3;521;40.4;0.15;0.18;57.8;0.18;;;;;;;;traces;0;0.39;0;traces;14.5;26.9;13.9;0;0;0.11;0.12;3.9;1.45;6.85;1.34;26.9;11.5;2.41;0;47;;4;0.37;4.3;177;1;1;10;2;1;3.7;13.1;3;147;1;2;547;7.5;23.2;;;1;0.05;0.05;0.05;0.05;0.05;5;0.1
matieres grasses;Matiere grasse vegetale(type margarine) à 5063% MG. allegee. demisel;523;36.9;0.2;0.2;58;0.2;0.5;;0.5;0.5;0.5;0.5;0.5;0;0;1.8;0;traces;25;19;8.46;0.3;0.26;0.85;0.79;4.71;2.86;9.01;2.79;17.4;7.18;1.28;0;0;;22;1.25;13.9;1050;1;1;10;2;1;18;35;8.4;500;1;45;507;7.5;15.4;;;1;0.1;0.05;0.05;0.26;0.05;5;0.1
matieres grasses;Matiere grasse vegetale(type margarine) à 5063% MG. allegee. doux. aux esters de sterol vegetal;548;39.4;0.5;0;60.8;traces;0.2;0.2;0.2;0.2;0.2;0.2;;0;0;0.38;0;28;14.6;27.7;15.5;0.01;0.01;0.42;0.26;3.13;1.26;7.32;1.61;25.7;11.7;3.81;0.01;0.01;0.01;;0.32;6.9;209;0.01;0.05;20;0.94;0.01;5.7;12;20;127;0.05;130;592;1.27;29.8;;;0.5;0.42;0.01;0.1;45;0.01;6.07;0.01
matieres grasses;Matiere grasse vegetale(type margarine) à 5063% MG. allegee. demisel. riche en omega 3;491;44.2;83;0.12;54.5;0.12;;;;;;;;0;0;1.38;0;traces;14.9;25;13.6;;;;;5.1;1.8;5.7;;24.5;8;4.25;;;;2;1.38;;727;;;;;;;;;550;;;;;17;;;;;;;;;;
matieres grasses;Matiere grasse vegetale(type margarine) à 5063% MG. allegee. doux;536;40.5;0.5;0.18;59.3;0.18;0.1;0.1;0.1;0.18;0.1;0.1;0.5;0;0;0.59;traces;55;18.2;22.6;15.7;0.01;0.01;0.37;0.29;4.21;1.64;9.48;1.77;21.3;13.1;2.58;0.01;0.01;0.01;10;0.4;13.4;381;1;1;10;2;1;14;22.5;9.4;159;1;38.5;518;6.5;18.6;;;0.75;0.05;0.05;0.05;0.05;0.05;5;0.15
